series_id,issuer,cik,fiscal_year,period_start,period_end,duration_weeks,currency,unit,entity_scope,concept,source_label,value,record_kind,evidence_label,copy_or_derived,source_id,source_url,source_anchor,period_start_basis,gap_status,comparability_note
apple_total_net_sales_fy2014_fy2025,Apple Inc.,0000320193,FY2014,2013-09-29,2014-09-27,52,USD,million,consolidated,total_net_sales,Net sales,182795,historical_actual,fact_source_reported,copied,apple_2016_10k,https://www.sec.gov/Archives/edgar/data/320193/000162828016020309/a201610-k9242016.htm,Item 8 > Consolidated Statements of Operations > printed page 39 > Net sales row > September 27 2014 column,derived_from_period_end_and_duration_weeks,none,Apple states FY2014 spanned 52 weeks; prior-period amounts may be reclassified to current presentation.
apple_total_net_sales_fy2014_fy2025,Apple Inc.,0000320193,FY2015,2014-09-28,2015-09-26,52,USD,million,consolidated,total_net_sales,Net sales,233715,historical_actual,fact_source_reported,copied,apple_2016_10k,https://www.sec.gov/Archives/edgar/data/320193/000162828016020309/a201610-k9242016.htm,Item 8 > Consolidated Statements of Operations > printed page 39 > Net sales row > September 26 2015 column,derived_from_period_end_and_duration_weeks,none,Apple states FY2015 spanned 52 weeks; prior-period amounts may be reclassified to current presentation.
apple_total_net_sales_fy2014_fy2025,Apple Inc.,0000320193,FY2016,2015-09-27,2016-09-24,52,USD,million,consolidated,total_net_sales,Net sales,215639,historical_actual,fact_source_reported,copied,apple_2016_10k,https://www.sec.gov/Archives/edgar/data/320193/000162828016020309/a201610-k9242016.htm,Item 8 > Consolidated Statements of Operations > printed page 39 > Net sales row > September 24 2016 column,derived_from_period_end_and_duration_weeks,none,Apple states FY2016 spanned 52 weeks; prior-period amounts may be reclassified to current presentation.
apple_total_net_sales_fy2014_fy2025,Apple Inc.,0000320193,FY2017,2016-09-25,2017-09-30,53,USD,million,consolidated,total_net_sales,Total net sales,229234,historical_actual,fact_source_reported,copied,apple_2019_10k,https://www.sec.gov/Archives/edgar/data/320193/000032019319000119/a10-k20199282019.htm,Item 8 > Consolidated Statements of Operations > printed page 29 > Total net sales row > September 30 2017 column,derived_from_period_end_and_duration_weeks,none,FY2017 spanned 53 weeks; FY2019 adoption of Topic 606 was full retrospective and Apple says prior total net sales were not restated because impact was not material.
apple_total_net_sales_fy2014_fy2025,Apple Inc.,0000320193,FY2018,2017-10-01,2018-09-29,52,USD,million,consolidated,total_net_sales,Total net sales,265595,historical_actual,fact_source_reported,copied,apple_2019_10k,https://www.sec.gov/Archives/edgar/data/320193/000032019319000119/a10-k20199282019.htm,Item 8 > Consolidated Statements of Operations > printed page 29 > Total net sales row > September 29 2018 column,derived_from_period_end_and_duration_weeks,none,FY2018 spanned 52 weeks; FY2019 adoption of Topic 606 was full retrospective and Apple says prior total net sales were not restated because impact was not material.
apple_total_net_sales_fy2014_fy2025,Apple Inc.,0000320193,FY2019,2018-09-30,2019-09-28,52,USD,million,consolidated,total_net_sales,Total net sales,260174,historical_actual,fact_source_reported,copied,apple_2019_10k,https://www.sec.gov/Archives/edgar/data/320193/000032019319000119/a10-k20199282019.htm,Item 8 > Consolidated Statements of Operations > printed page 29 > Total net sales row > September 28 2019 column,derived_from_period_end_and_duration_weeks,none,FY2019 spanned 52 weeks; Topic 606 was adopted using the full retrospective method and Apple says total net sales in prior periods presented were not restated because impact was not material.
apple_total_net_sales_fy2014_fy2025,Apple Inc.,0000320193,FY2020,2019-09-29,2020-09-26,52,USD,million,consolidated,total_net_sales,Total net sales,274515,historical_actual,fact_source_reported,copied,apple_2022_10k,https://www.sec.gov/Archives/edgar/data/320193/000032019322000108/aapl-20220924.htm,Item 8 > Consolidated Statements of Operations > printed page 29 > Total net sales row > September 26 2020 column,derived_from_period_end_and_duration_weeks,none,Apple states FY2020 spanned 52 weeks; prior-period amounts may be reclassified to current presentation.
apple_total_net_sales_fy2014_fy2025,Apple Inc.,0000320193,FY2021,2020-09-27,2021-09-25,52,USD,million,consolidated,total_net_sales,Total net sales,365817,historical_actual,fact_source_reported,copied,apple_2022_10k,https://www.sec.gov/Archives/edgar/data/320193/000032019322000108/aapl-20220924.htm,Item 8 > Consolidated Statements of Operations > printed page 29 > Total net sales row > September 25 2021 column,derived_from_period_end_and_duration_weeks,none,Apple states FY2021 spanned 52 weeks; prior-period amounts may be reclassified to current presentation.
apple_total_net_sales_fy2014_fy2025,Apple Inc.,0000320193,FY2022,2021-09-26,2022-09-24,52,USD,million,consolidated,total_net_sales,Total net sales,394328,historical_actual,fact_source_reported,copied,apple_2022_10k,https://www.sec.gov/Archives/edgar/data/320193/000032019322000108/aapl-20220924.htm,Item 8 > Consolidated Statements of Operations > printed page 29 > Total net sales row > September 24 2022 column,derived_from_period_end_and_duration_weeks,none,Apple states FY2022 spanned 52 weeks; prior-period amounts may be reclassified to current presentation.
apple_total_net_sales_fy2014_fy2025,Apple Inc.,0000320193,FY2023,2022-09-25,2023-09-30,53,USD,million,consolidated,total_net_sales,Total net sales,383285,historical_actual,fact_source_reported,copied,apple_2025_10k,https://www.sec.gov/Archives/edgar/data/320193/000032019325000079/aapl-20250927.htm,Item 8 > Consolidated Statements of Operations > printed page 29 > Total net sales row > September 30 2023 column,derived_from_period_end_and_duration_weeks,none,FY2023 spanned 53 weeks; prior-period note amounts may be reclassified and the FY2025 segment standard was adopted retrospectively without changing this consolidated statement total.
apple_total_net_sales_fy2014_fy2025,Apple Inc.,0000320193,FY2024,2023-10-01,2024-09-28,52,USD,million,consolidated,total_net_sales,Total net sales,391035,historical_actual,fact_source_reported,copied,apple_2025_10k,https://www.sec.gov/Archives/edgar/data/320193/000032019325000079/aapl-20250927.htm,Item 8 > Consolidated Statements of Operations > printed page 29 > Total net sales row > September 28 2024 column,derived_from_period_end_and_duration_weeks,none,FY2024 spanned 52 weeks; prior-period note amounts may be reclassified and the FY2025 segment standard was adopted retrospectively without changing this consolidated statement total.
apple_total_net_sales_fy2014_fy2025,Apple Inc.,0000320193,FY2025,2024-09-29,2025-09-27,52,USD,million,consolidated,total_net_sales,Total net sales,416161,historical_actual,fact_source_reported,copied,apple_2025_10k,https://www.sec.gov/Archives/edgar/data/320193/000032019325000079/aapl-20250927.htm,Item 8 > Consolidated Statements of Operations > printed page 29 > Total net sales row > September 27 2025 column,derived_from_period_end_and_duration_weeks,none,FY2025 spanned 52 weeks; prior-period note amounts may be reclassified and the FY2025 segment standard was adopted retrospectively without changing this consolidated statement total.
