fact_id,issuer,entity_type,entity_scope,concept,source_label,period_type,period_start,period_end,instant,currency,unit,value,value_sign,source_id,source_url,pdf_page,printed_page,table_anchor,row_anchor,column_anchor,evidence_label,copy_or_derived,retrieved_at
maybank_operating_revenue_2025,Malayan Banking Berhad,bank,group_consolidated,operating_revenue,Operating revenue,annual_duration,2025-01-01,2025-12-31,,MYR,thousand,66369232,positive,maybank_fy2025_financial_statements,https://maybank.listedcompany.com/newsroom/Maybank_FY2025_Financial_Statements_20260401.pdf,31,29,Income Statements,Operating revenue,Group 2025 RM'000,fact_source_reported,copied,2026-08-22
maybank_operating_revenue_2024,Malayan Banking Berhad,bank,group_consolidated,operating_revenue,Operating revenue,annual_duration,2024-01-01,2024-12-31,,MYR,thousand,68942785,positive,maybank_fy2025_financial_statements,https://maybank.listedcompany.com/newsroom/Maybank_FY2025_Financial_Statements_20260401.pdf,31,29,Income Statements,Operating revenue,Group 2024 RM'000,fact_source_reported,copied,2026-08-22
maybank_net_operating_income_2025,Malayan Banking Berhad,bank,group_consolidated,net_operating_income,Net operating income,annual_duration,2025-01-01,2025-12-31,,MYR,thousand,30379501,positive,maybank_fy2025_financial_statements,https://maybank.listedcompany.com/newsroom/Maybank_FY2025_Financial_Statements_20260401.pdf,31,29,Income Statements,Net operating income,Group 2025 RM'000,fact_source_reported,copied,2026-08-22
maybank_net_operating_income_2024,Malayan Banking Berhad,bank,group_consolidated,net_operating_income,Net operating income,annual_duration,2024-01-01,2024-12-31,,MYR,thousand,29572506,positive,maybank_fy2025_financial_statements,https://maybank.listedcompany.com/newsroom/Maybank_FY2025_Financial_Statements_20260401.pdf,31,29,Income Statements,Net operating income,Group 2024 RM'000,fact_source_reported,copied,2026-08-22
maybank_pbt_2025,Malayan Banking Berhad,bank,group_consolidated,profit_before_taxation_and_zakat,Profit before taxation and zakat,annual_duration,2025-01-01,2025-12-31,,MYR,thousand,14333794,positive,maybank_fy2025_financial_statements,https://maybank.listedcompany.com/newsroom/Maybank_FY2025_Financial_Statements_20260401.pdf,31,29,Income Statements,Profit before taxation and zakat,Group 2025 RM'000,fact_source_reported,copied,2026-08-22
maybank_pbt_2024,Malayan Banking Berhad,bank,group_consolidated,profit_before_taxation_and_zakat,Profit before taxation and zakat,annual_duration,2024-01-01,2024-12-31,,MYR,thousand,13701565,positive,maybank_fy2025_financial_statements,https://maybank.listedcompany.com/newsroom/Maybank_FY2025_Financial_Statements_20260401.pdf,31,29,Income Statements,Profit before taxation and zakat,Group 2024 RM'000,fact_source_reported,copied,2026-08-22
maybank_total_assets_2025,Malayan Banking Berhad,bank,group_consolidated,total_assets,Total assets,instant,,,2025-12-31,MYR,thousand,1053583593,positive,maybank_fy2025_financial_statements,https://maybank.listedcompany.com/newsroom/Maybank_FY2025_Financial_Statements_20260401.pdf,30,28,Statements of Financial Position,Total assets,Group 2025 RM'000,fact_source_reported,copied,2026-08-22
maybank_total_assets_2024,Malayan Banking Berhad,bank,group_consolidated,total_assets,Total assets,instant,,,2024-12-31,MYR,thousand,1075321956,positive,maybank_fy2025_financial_statements,https://maybank.listedcompany.com/newsroom/Maybank_FY2025_Financial_Statements_20260401.pdf,30,28,Statements of Financial Position,Total assets,Group 2024 RM'000,fact_source_reported,copied,2026-08-22
maybank_customer_loans_2025,Malayan Banking Berhad,bank,group_consolidated,net_loans_advances_financing_to_customers,"Loans, advances and financing to customers",instant,,,2025-12-31,MYR,thousand,676981380,positive,maybank_fy2025_financial_statements,https://maybank.listedcompany.com/newsroom/Maybank_FY2025_Financial_Statements_20260401.pdf,30,28,Statements of Financial Position,"Loans, advances and financing to customers",Group 2025 RM'000,fact_source_reported,copied,2026-08-22
maybank_customer_loans_2024,Malayan Banking Berhad,bank,group_consolidated,net_loans_advances_financing_to_customers,"Loans, advances and financing to customers",instant,,,2024-12-31,MYR,thousand,662740860,positive,maybank_fy2025_financial_statements,https://maybank.listedcompany.com/newsroom/Maybank_FY2025_Financial_Statements_20260401.pdf,30,28,Statements of Financial Position,"Loans, advances and financing to customers",Group 2024 RM'000,fact_source_reported,copied,2026-08-22
