fact_id,issuer,concept,period_start,period_end,duration_weeks,instant,entity_scope,currency,unit,value,display_value,evidence_label,copy_or_derived,source_id,source_url,pdf_page,printed_page,table_anchor,row_anchor,source_cell_anchor,fixture_anchor,retrieved_at,restatement_caveat,notes
apple_revenue_2025,Apple Inc.,revenue,2024-09-29,2025-09-27,52,,Consolidated group,USD,million,416161,"$416,161",fact_source_reported,copied,APPLE-10K-2025,https://d18rn0p25nwr6d.cloudfront.net/CIK-0000320193/c24e7a28-5254-4dfa-9447-62aaa3c24bb1.pdf,31,29,Consolidated Statements of Operations,Total net sales | FY2025 column,,normalized_facts.csv#apple_revenue_2025,2026-08-22,Certain note amounts reclassified; primary statement comparative presented as filed,52-week fiscal year
apple_revenue_2024,Apple Inc.,revenue,2023-10-01,2024-09-28,52,,Consolidated group,USD,million,391035,"$391,035",fact_source_reported,copied,APPLE-10K-2025,https://d18rn0p25nwr6d.cloudfront.net/CIK-0000320193/c24e7a28-5254-4dfa-9447-62aaa3c24bb1.pdf,31,29,Consolidated Statements of Operations,Total net sales | FY2024 column,,normalized_facts.csv#apple_revenue_2024,2026-08-22,Certain note amounts reclassified; primary statement comparative presented as filed,52-week fiscal year
apple_operating_income_2025,Apple Inc.,operating_profit_or_loss,2024-09-29,2025-09-27,52,,Consolidated group,USD,million,133050,"$133,050",fact_source_reported,copied,APPLE-10K-2025,https://d18rn0p25nwr6d.cloudfront.net/CIK-0000320193/c24e7a28-5254-4dfa-9447-62aaa3c24bb1.pdf,31,29,Consolidated Statements of Operations,Operating income | FY2025 column,,normalized_facts.csv#apple_operating_income_2025,2026-08-22,Certain note amounts reclassified; primary statement comparative presented as filed,
apple_current_assets_2025,Apple Inc.,current_assets,,,,2025-09-27,Consolidated group,USD,million,147957,"$147,957",fact_source_reported,copied,APPLE-10K-2025,https://d18rn0p25nwr6d.cloudfront.net/CIK-0000320193/c24e7a28-5254-4dfa-9447-62aaa3c24bb1.pdf,33,30,Consolidated Balance Sheets,Total current assets | September 27 2025 column,,normalized_facts.csv#apple_current_assets_2025,2026-08-22,Certain note amounts reclassified; primary statement comparative presented as filed,Point-in-time balance
apple_current_liabilities_2025,Apple Inc.,current_liabilities,,,,2025-09-27,Consolidated group,USD,million,165631,"$165,631",fact_source_reported,copied,APPLE-10K-2025,https://d18rn0p25nwr6d.cloudfront.net/CIK-0000320193/c24e7a28-5254-4dfa-9447-62aaa3c24bb1.pdf,33,30,Consolidated Balance Sheets,Total current liabilities | September 27 2025 column,,normalized_facts.csv#apple_current_liabilities_2025,2026-08-22,Certain note amounts reclassified; primary statement comparative presented as filed,Point-in-time balance
apple_cfo_2025,Apple Inc.,net_cash_from_operating_activities,2024-09-29,2025-09-27,52,,Consolidated group,USD,million,111482,"$111,482",fact_source_reported,copied,APPLE-10K-2025,https://d18rn0p25nwr6d.cloudfront.net/CIK-0000320193/c24e7a28-5254-4dfa-9447-62aaa3c24bb1.pdf,35,32,Consolidated Statements of Cash Flows,Cash generated by operating activities | FY2025 column,,normalized_facts.csv#apple_cfo_2025,2026-08-22,Certain note amounts reclassified; primary statement comparative presented as filed,
apple_capex_2025,Apple Inc.,cash_purchases_of_ppe,2024-09-29,2025-09-27,52,,Consolidated group,USD,million,12715,"$(12,715)",fact_source_reported,copied,APPLE-10K-2025,https://d18rn0p25nwr6d.cloudfront.net/CIK-0000320193/c24e7a28-5254-4dfa-9447-62aaa3c24bb1.pdf,35,32,Consolidated Statements of Cash Flows,"Payments for acquisition of property, plant and equipment | FY2025 column",,normalized_facts.csv#apple_capex_2025,2026-08-22,Certain note amounts reclassified; primary statement comparative presented as filed,Stored as positive cash-outflow magnitude; source displays parentheses
apple_gross_profit_2025,Apple Inc.,gross_profit,2024-09-29,2025-09-27,52,,Consolidated group,USD,million,195201,"$195,201",fact_source_reported,copied,APPLE-10K-2025,https://d18rn0p25nwr6d.cloudfront.net/CIK-0000320193/c24e7a28-5254-4dfa-9447-62aaa3c24bb1.pdf,31,29,Consolidated Statements of Operations,Gross margin | FY2025 column,,normalized_facts.csv#apple_gross_profit_2025,2026-08-22,Certain note amounts reclassified; primary statement comparative presented as filed,Source label Gross margin is a gross-profit amount
pcg_revenue_2025,PETRONAS Chemicals Group Berhad,revenue,2025-01-01,2025-12-31,52,,Consolidated group,MYR,million,27480,"RM27,480",fact_source_reported,copied,PCG-FR-2025,https://www.petronas.com/pcg/sites/default/files/uploads/content/2026/IR%20Suite%202025/PCG%20FR2025%20%5BInteractive%20PDF%5D.pdf,6,11,Statements of Profit or Loss,Revenue | Group 2025 column,,normalized_facts.csv#pcg_revenue_2025,2026-08-22,Certain 2024 note comparatives reclassified; primary statement comparative presented as audited,Calendar year; nearest RM million
pcg_revenue_2024,PETRONAS Chemicals Group Berhad,revenue,2024-01-01,2024-12-31,52,,Consolidated group,MYR,million,30671,"RM30,671",fact_source_reported,copied,PCG-FR-2025,https://www.petronas.com/pcg/sites/default/files/uploads/content/2026/IR%20Suite%202025/PCG%20FR2025%20%5BInteractive%20PDF%5D.pdf,6,11,Statements of Profit or Loss,Revenue | Group 2024 column,,normalized_facts.csv#pcg_revenue_2024,2026-08-22,Certain 2024 note comparatives reclassified; primary statement comparative presented as audited,Calendar year; nearest RM million
pcg_operating_loss_2025,PETRONAS Chemicals Group Berhad,operating_profit_or_loss,2025-01-01,2025-12-31,52,,Consolidated group,MYR,million,-1372,"RM(1,372)",fact_source_reported,copied,PCG-FR-2025,https://www.petronas.com/pcg/sites/default/files/uploads/content/2026/IR%20Suite%202025/PCG%20FR2025%20%5BInteractive%20PDF%5D.pdf,6,11,Statements of Profit or Loss,Operating (loss)/profit | Group 2025 column,,normalized_facts.csv#pcg_operating_loss_2025,2026-08-22,Certain 2024 note comparatives reclassified; primary statement comparative presented as audited,Loss stored negative
pcg_operating_profit_2024,PETRONAS Chemicals Group Berhad,operating_profit_or_loss,2024-01-01,2024-12-31,52,,Consolidated group,MYR,million,2057,"RM2,057",fact_source_reported,copied,PCG-FR-2025,https://www.petronas.com/pcg/sites/default/files/uploads/content/2026/IR%20Suite%202025/PCG%20FR2025%20%5BInteractive%20PDF%5D.pdf,6,11,Statements of Profit or Loss,Operating (loss)/profit | Group 2024 column,,normalized_facts.csv#pcg_operating_profit_2024,2026-08-22,Certain 2024 note comparatives reclassified; primary statement comparative presented as audited,
pcg_current_assets_2025,PETRONAS Chemicals Group Berhad,current_assets,,,,2025-12-31,Consolidated group,MYR,million,17352,"RM17,352",fact_source_reported,copied,PCG-FR-2025,https://www.petronas.com/pcg/sites/default/files/uploads/content/2026/IR%20Suite%202025/PCG%20FR2025%20%5BInteractive%20PDF%5D.pdf,6,10,Statements of Financial Position,Total current assets | Group 2025 column,,normalized_facts.csv#pcg_current_assets_2025,2026-08-22,Certain 2024 note comparatives reclassified; primary statement comparative presented as audited,Point-in-time balance
pcg_current_liabilities_2025,PETRONAS Chemicals Group Berhad,current_liabilities,,,,2025-12-31,Consolidated group,MYR,million,12054,"RM12,054",fact_source_reported,copied,PCG-FR-2025,https://www.petronas.com/pcg/sites/default/files/uploads/content/2026/IR%20Suite%202025/PCG%20FR2025%20%5BInteractive%20PDF%5D.pdf,6,10,Statements of Financial Position,Total current liabilities | Group 2025 column,,normalized_facts.csv#pcg_current_liabilities_2025,2026-08-22,Certain 2024 note comparatives reclassified; primary statement comparative presented as audited,Point-in-time balance
pcg_cfo_2025,PETRONAS Chemicals Group Berhad,net_cash_from_operating_activities,2025-01-01,2025-12-31,52,,Consolidated group,MYR,million,3147,"RM3,147",fact_source_reported,copied,PCG-FR-2025,https://www.petronas.com/pcg/sites/default/files/uploads/content/2026/IR%20Suite%202025/PCG%20FR2025%20%5BInteractive%20PDF%5D.pdf,10,18,Statements of Cash Flows,Net cash generated from operating activities | Group 2025 column,,normalized_facts.csv#pcg_cfo_2025,2026-08-22,Certain 2024 note comparatives reclassified; primary statement comparative presented as audited,
pcg_capex_2025,PETRONAS Chemicals Group Berhad,cash_purchases_of_ppe,2025-01-01,2025-12-31,52,,Consolidated group,MYR,million,2082,"RM(2,082)",fact_source_reported,copied,PCG-FR-2025,https://www.petronas.com/pcg/sites/default/files/uploads/content/2026/IR%20Suite%202025/PCG%20FR2025%20%5BInteractive%20PDF%5D.pdf,10,19,Statements of Cash Flows,"Purchase of property, plant and equipment | Group 2025 column",,normalized_facts.csv#pcg_capex_2025,2026-08-22,Certain 2024 note comparatives reclassified; primary statement comparative presented as audited,Stored as positive cash-outflow magnitude; Note 3 PDF page 25 / printed page 49 reconciles cash purchase
pcg_gross_profit_2025,PETRONAS Chemicals Group Berhad,gross_profit,2025-01-01,2025-12-31,52,,Consolidated group,MYR,million,2928,"RM2,928",fact_source_reported,copied,PCG-FR-2025,https://www.petronas.com/pcg/sites/default/files/uploads/content/2026/IR%20Suite%202025/PCG%20FR2025%20%5BInteractive%20PDF%5D.pdf,6,11,Statements of Profit or Loss,Gross profit/(loss) | Group 2025 column,,normalized_facts.csv#pcg_gross_profit_2025,2026-08-22,Certain 2024 note comparatives reclassified; primary statement comparative presented as audited,
